member1,member2
195657825,206835363
195657825,229519013
195657825,120147622
195657825,59465382
195657825,226393774
195657825,144256692
195657825,191159999
195657825,14225093
195657825,212623048
195657825,16019151
195657825,113798872
195657825,194338521
195657825,186187494
195657825,220225255
195657825,51490542
195657825,103288562
195657825,188567282
195657825,10743543
195657825,9219838
195657825,200052480
195657825,158002952
195657825,4353803
195657825,214241035
195657825,199499533
195657825,205913902
195657825,187273009
195657825,220843827
195657825,108670772
195657825,208174900
195657825,184991548
195657825,198205248
195657825,187256640
195657825,43712322
195657825,78520132
195657825,186904388
195657825,189685577
195657825,203468630
195657825,18943841
195657825,205496163
195657825,203730789
195657825,8785766
195657825,192229223
195657825,197234536
195657825,188100470
195657825,49397622
195657825,6057849
195657825,149172092
195657825,175300482
195657825,3436418
195657825,196095880
195657825,208965513
195657825,208015243
195657825,158465932
195657825,54914962
195657825,225509283
195657825,185409444
195657825,156270502
195657825,192032680
195657825,130158522
195657825,188190655
195657825,230285247
195657825,230969285
195657825,225226693
195657825,200548296
195657825,188530638
195657825,227524561
195657825,188010474
195657825,216489965
195657825,6758382
195657825,11149295
195657825,202424309
195657825,233426938
81247262,209453152
205233254,209453152
14687401,209453152
206843171,209453152
215952752,209453152
231054908,209453152
209453152,128991232
209453152,146040842
209453152,188194830
209453152,226779164
209453152,137420832
209453152,140965932
209453152,211365934
209453152,201822256
209453152,98742322
209453152,20238391
209453152,199290936
209453152,215619639
209453152,13547579
209453152,199602237
209453152,14532681
209453152,188297294
209453152,21563471
209453152,156086352
209453152,187254868
209453152,38506582
209453152,56997982
209453152,9105503
209453152,221423715
209453152,7485542
209453152,148211832
209453152,12505220
209453152,190939281
209453152,81924252
209453152,95860892
209453152,187639969
209453152,2179235
209453152,198066340
209453152,129122472
209453152,12925101
209453152,202119345
209453152,207370422
209453152,191758521
209453152,82284732
209453152,29532352
209453152,10758349
209453152,216723661
209453152,43573462
209453152,203055322
209453152,220555487
209453152,174031072
209453152,210137314
209453152,33155302
209453152,14051566
209453152,224954611
209453152,159654132
209453152,1962233
209453152,189401341
209453152,208840957
209453152,208066820
209453152,217663750
209453152,10066189
209453152,208083240
209453152,187572521
209453152,209099058
209453152,6961459
209453152,210807107
209453152,203192644
209453152,188348741
209453152,198117708
209453152,109089102
209453152,185532751
209453152,8921426
209453152,191512916
209453152,37118292
209453152,213901653
209453152,174057822
209453152,191220068
209453152,45298022
209453152,13678954
209453152,7559534
209453152,15284591
209453152,215179635
209453152,194742643
209453152,191621498
209453152,211190144
209453152,5173635
209453152,28608902
209453152,93983122
209453152,207499677
209453152,228370847
209453152,41855402
209453152,146112942
