timestep,node,infected,risky
0,9219838,0,0
0,200052480,0,0
0,158002952,0,0
0,4353803,0,0
0,214241035,0,0
0,199499533,0,0
0,205913902,0,0
0,187273009,0,0
0,220843827,0,0
0,108670772,0,0
0,208174900,0,0
0,184991548,0,0
0,198205248,0,0
0,187256640,0,0
0,43712322,0,0
0,78520132,0,0
0,186904388,0,0
0,189685577,0,0
0,203468630,0,0
0,18943841,0,0
0,205496163,0,0
0,203730789,0,0
0,8785766,0,0
0,192229223,0,0
0,197234536,0,0
0,188100470,0,0
0,49397622,0,0
0,6057849,0,0
0,149172092,0,0
0,175300482,0,0
0,3436418,0,0
0,196095880,0,0
0,208965513,0,0
0,208015243,0,0
0,158465932,0,0
0,54914962,0,0
0,225509283,0,0
0,185409444,0,0
0,156270502,0,0
0,192032680,0,0
0,130158522,0,0
0,188190655,0,0
0,230285247,0,0
0,230969285,0,0
0,225226693,0,0
0,200548296,0,0
0,188530638,0,0
0,227524561,0,0
0,188010474,0,0
0,216489965,0,0
0,6758382,0,0
0,11149295,0,0
0,202424309,0,0
0,233426938,0,0
0,209453152,1,0
0,128991232,0,0
0,146040842,0,0
0,188194830,0,0
0,226779164,0,0
0,137420832,0,0
0,140965932,0,0
0,211365934,0,0
0,201822256,0,0
0,98742322,0,0
0,20238391,0,0
0,199290936,0,0
0,215619639,0,0
0,13547579,0,0
0,199602237,0,0
0,14532681,0,0
0,188297294,0,0
0,21563471,0,0
0,156086352,0,0
0,187254868,0,0
0,38506582,0,0
0,56997982,0,0
0,9105503,0,0
0,221423715,0,0
0,7485542,0,0
0,148211832,0,0
0,12505220,0,0
0,190939281,0,0
0,81924252,0,0
0,95860892,0,0
0,187639969,0,0
0,2179235,1,0
0,198066340,0,0
0,129122472,0,0
0,12925101,0,0
0,202119345,0,0
0,207370422,0,0
0,191758521,0,0
0,82284732,0,0
0,29532352,0,0
0,10758349,0,0
0,216723661,0,0
0,43573462,0,0
0,203055322,0,0
0,220555487,0,0
0,174031072,1,0
0,210137314,0,0
0,33155302,0,0
0,14051566,0,0
0,224954611,0,0
0,159654132,0,0
0,1962233,0,0
0,189401341,0,0
0,208840957,0,0
0,208066820,0,0
0,217663750,0,0
0,10066189,0,0
0,208083240,0,0
0,187572521,0,0
0,209099058,0,0
0,6961459,0,0
0,210807107,0,0
0,203192644,0,0
0,188348741,0,0
0,198117708,0,0
0,109089102,0,0
0,185532751,0,0
0,8921426,0,0
0,191512916,0,0
0,37118292,0,0
0,213901653,0,0
0,174057822,0,0
0,191220068,0,0
0,45298022,0,0
0,13678954,0,0
0,7559534,0,1
0,15284591,0,0
0,215179635,0,0
0,194742643,0,0
0,191621498,0,0
0,211190144,0,0
0,5173635,0,0
0,28608902,0,0
0,93983122,0,0
0,207499677,0,0
0,228370847,0,0
0,41855402,0,0
0,146112942,0,0
0,210649524,0,0
0,635319,0,0
0,13273531,0,0
0,5579198,0,0
0,220297664,0,0
0,8079808,0,0
0,71424452,0,0
0,150907332,0,0
0,6603223,0,0
0,208253400,0,0
0,10553819,0,0
0,229693920,0,0
0,209660386,0,0
0,190761456,0,0
0,130988532,0,0
0,205535742,0,0
0,13687304,1,0
0,226310667,0,0
0,64455192,0,0
0,226128410,0,0
0,207583772,0,0
0,32809502,0,0
0,224336417,0,0
0,195951151,0,0
0,125274672,0,0
0,53516852,0,0
0,211006026,0,0
0,233859668,0,0
0,110832222,0,0
0,137261662,0,0
0,195301990,0,0
0,212243049,0,0
0,179884652,0,0
0,227414637,0,0
0,222288505,0,0
0,212054650,0,0
0,177009282,0,0
0,209447556,0,0
0,229831302,0,0
0,85715592,0,0
0,13582987,0,0
0,11416204,0,0
0,184586892,0,0
0,200790668,0,0
0,8473236,0,0
0,201800343,0,0
0,33198752,0,0
0,121705122,0,0
0,195574437,0,0
0,4602540,0,0
0,57041582,0,0
0,181531312,0,0
0,183556787,0,0
0,9702068,0,0
0,44927672,0,0
0,228682424,0,0
0,223312572,0,0
0,196725445,0,0
0,58950342,0,0
0,207563463,0,0
0,12229328,0,0
0,109826772,0,0
0,195654361,0,0
0,9745115,0,1
0,13501170,0,0
0,161561332,0,0
0,205257465,0,0
0,137411322,0,0
0,33628922,0,0
0,207788795,0,0
0,203281152,0,0
0,227480320,0,0
0,209216260,0,0
0,12757769,0,0
0,99924752,0,0
0,40221462,0,0
0,213568281,0,0
0,200735518,0,0
0,223910698,0,0
0,41954092,0,0
0,212038445,0,1
0,198380339,0,0
0,6765365,0,0
0,11221820,0,0
0,149975872,0,0
0,226437965,0,0
0,222712658,0,0
0,9278294,0,0
0,223738717,0,0
0,223646557,0,0
0,47618912,0,0
0,216267622,0,0
0,210561896,0,0
0,227869544,0,0
0,10234731,0,0
0,207401844,0,0
0,131523452,1,0
0,192033663,0,0
0,119628682,0,0
0,98198412,0,0
0,189633429,0,0
0,216955806,0,0
0,33659822,0,0
0,202787758,0,0
0,13702065,0,0
0,216421300,0,0
0,233675700,0,0
0,14390209,0,0
0,190026711,0,0
0,229188569,0,0
0,208350173,0,0
0,51485662,0,0
0,229692381,0,0
0,4088809,0,0
0,38591482,0,0
0,208176128,0,0
0,140274692,0,0
0,193248264,1,0
0,91626512,0,0
0,198188049,0,0
0,111592472,0,0
0,190147610,0,0
0,213568542,1,0
0,204524586,0,0
0,7726130,0,0
0,3380276,1,1
0,205704257,0,0
0,154920002,0,0
0,14160964,0,0
0,124310602,0,0
0,81970252,0,0
0,206296158,0,0
0,9340001,0,0
0,126323812,0,0
0,185422955,0,0
0,184792175,0,0
0,201774191,0,0
0,10083446,0,0
0,72379512,0,0
0,100099192,0,0
0,59892862,0,0
0,221385858,0,0
0,215876742,0,0
0,216034438,1,0
0,205677713,0,0
0,198067348,0,0
0,83029142,0,0
0,183223448,0,0
0,192965786,0,0
0,49743012,0,0
0,13667508,0,0
0,229717183,0,0
0,183297218,0,0
0,207287492,0,0
0,209407174,0,0
0,45178062,0,0
0,213200089,0,0
0,81196252,0,0
0,185591004,0,0
0,189574367,0,0
0,35218662,0,0
0,212577516,0,0
0,58756332,0,0
0,5985520,0,0
0,195757297,0,0
0,235689203,0,0
0,82238712,0,0
0,218975482,0,0
0,103496962,0,0
0,152786182,0,0
0,46486792,0,0
0,220902665,0,0
0,225555724,0,0
0,115037452,0,0
0,207265038,0,0
0,161041682,0,0
0,191966482,0,0
0,220867862,0,0
0,3710232,0,0
0,188527897,0,0
0,190717209,0,0
0,182574366,0,0
0,205874466,0,0
0,53695782,0,0
0,190055719,0,0
0,10716469,0,0
0,43871542,0,0
0,188671296,0,0
0,221259073,0,0
0,212770120,0,0
0,218062154,0,0
0,58619242,0,0
0,28245362,0,0
0,14173571,0,0
0,211363204,0,0
0,11462026,0,0
0,202597783,0,0
0,207420826,0,0
0,3614107,0,0
0,212108700,0,0
0,11742625,0,0
0,197066151,0,0
0,35235252,0,0
0,9831878,0,0
0,8979910,0,0
0,10743245,0,0
0,140103122,0,0
0,96869842,0,0
0,113362402,0,0
0,9999847,0,0
0,118484462,0,0
